বাংলাদেশের জাতীয় পাখির নাম কী?,,,‌কোকিল,,,দোয়েল,,,কবুতর,,,দোয়েল
শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার, ______। শুন্যস্থানে কি বসবে?,,,শুক্রবার,,,সুক্রবার,,,শুকবার,,,শুক্তবার
বাংলাদেশের জাতীয় কবির নাম কী?,,,সুফিয়া কামাল,,,কাজী নজরূল ইসলাম,,,কাজী নজরুল ইসলাম,,,রবীন্দ্রনাথ ঠাকুর
উপরের ছবিতে যে প্রাণীটি গাছে ঝুলছে তার নাম কী?,,,বাঘ,,,মৌমাছি,,,হরিণ,,,বানর
নিচের কোন বাক্যটি উপরের ছবি অনুযায়ী সঠিক?,,,বাঘ গাছে ঝুলছে,,,মৌমাছি গাছের পাতা খাচ্ছে,,,বানর আকাশে উড়ছে,,,হরিণ গাছের পাতা খাচ্ছে
ছবিতে যে সাদা রঙ এর ফুল দেখা যাচ্ছে, তার নাম কী?,,,গোলাপ ফুল,,,রজনীগন্ধা ফুল,,,শাপলাফুল,,,কাশফুল
ছবিটি দেখে তোমার কীসের দৃশ্যের কথা মনে পড়ছে?,,,ক্রিকেট খেলার,,,নৌকা চালানোর,,,শহরের রাস্তার,,,মাছ ধরার
কোন দুইটি শব্দের অর্থ আলাদা?,,,বিদ্যলয়, পাঠশালা,,,সকাল, রাত্রি,,,যুদ্ধ, লড়াই,,,জবাব, উত্তর
বাংলাদেশের কত জন বীরকে "বীরশ্রেষ্ঠ" খেতাবে ভূষিত করা হয়?,,,৬০ জন,,,৯ জন,,,৭ জন,,, ১১ জন
অকুতোভয় বলতে কী বোঝ?,,,যার অনেক ভয়,,,যে অল্পতেই ভয় পায়,,,ভয় নেই যার,,,কোনটিই নয়
