বাংলাদেশের জাতীয় পাখির নাম কী?,,,‌কোকিল,,,দোয়েল,,,কবুতর,,,দোয়েল
শনিবার, রবিবার, সোমবার, মঙ্গলবার, বুধবার, বৃহস্পতিবার, ______। শুন্যস্থানে কি বসবে?,,,শুক্রবার,,,সুক্রবার,,,শুকবার,,,শুক্তবার
বাংলাদেশের জাতীয় কবির নাম কী?,,,সুফিয়া কামাল,,,কাজী নজরূল ইসলাম,,,কাজী নজরুল ইসলাম,,,রবীন্দ্রনাথ ঠাকুর
উপরের ছবিতে যে প্রাণীটি গাছে ঝুলছে তার নাম কী?,,,বাঘ,,,মৌমাছি,,,হরিণ,,,বানর
নিচের কোন বাক্যটি উপরের ছবি অনুযায়ী সঠিক?,,,বাঘ গাছে ঝুলছে,,,মৌমাছি গাছের পাতা খাচ্ছে,,,বানর আকাশে উড়ছে,,,হরিণ গাছের পাতা খাচ্ছে
ছবিতে যে সাদা রঙ এর ফুল দেখা যাচ্ছে, তার নাম কী?,,,গোলাপ ফুল,,,রজনীগন্ধা ফুল,,,শাপলাফুল,,,কাশফুল
ছবিটি দেখে তোমার কীসের দৃশ্যের কথা মনে পড়ছে?,,,ক্রিকেট খেলার,,,নৌকা চালানোর,,,শহরের রাস্তার,,,মাছ ধরার
কোন দুইটি শব্দের অর্থ আলাদা?,,,বিদ্যলয়, পাঠশালা,,,সকাল, রাত্রি,,,যুদ্ধ, লড়াই,,,জবাব, উত্তর
বাংলাদেশের কত জন বীরকে "বীরশ্রেষ্ঠ" খেতাবে ভূষিত করা হয়?,,,৬০ জন,,,৯ জন,,,৭ জন,,, ১১ জন
অকুতোভয় বলতে কী বোঝ?,,,যার অনেক ভয়,,,যে অল্পতেই ভয় পায়,,,ভয় নেই যার,,,কোনটিই নয়
ছোট পাখি, ছোট পাখি কিচিমিচি ডাকা ডাকি কোথা যাও, বলে যাও শুনি। এখন না কব কথা আনিয়াছি  তৃণলতা আপনার বাসা আগে বুনি। উপরের কবিতাটি পড়ি ও নিচের প্রশ্নের উত্তর দেইঃ ছোট পাখিটি কিচিমিচি করে কি করে?,,,গান গায়,,,কথা বলে,,,আনন্দ করে,,,ডাকে
ছোট পাখিটি কার বাসা আগে বুনে?,,,তার বন্ধুর,,,তৃণলতা্র,,,তার নিজের,,,অন্য ছোট পাখিদের
নিচ থেকে সঠিক শব্দ বসিয়ে বাক্য গঠন করো।  ১৩) ফুটবল খেলায় মোট এগারোজন নিয়ে ___ গঠন হয়।,,,বিভাগ,,,গোষ্ঠী ,,,দল,,,সমাজ
সবাই ____কাজ করলে কঠিন কাজও সহজ হয়ে যায়। ,,,তাড়াতাড়ি,,,কাড়াকাড়ি,,,যুদ্ধ,,,মিলেমিশে,
দুই মাস মিলে আমাদের গ্রীষ্মকাল। একটি মাসের নাম বৈশাখ। তাহলে অপর মাসের নাম কী? ,,,আষাঢ়,,,জ্যৈষ্ঠ,,,জৈষ্ঠ,,,শ্রাবণ 
৯৫ সংখ্যাটির শুদ্ধ বানান কোনটি ?,,,পচানব্বই,,,পছানব্বই,,,পঁচানব্বই,,,পঁচাত্তর 
নিচের কোন বিরামচিহ্নটি কমা ?,,,(’),,,(;),,,(:),,,(,)
“বাছা এবার যাবে কোথায়___” বাক্যটি শেষে কোন বিরামচিহ্নটি বসবে?,,,(।),,,(!),,,(?),,,(,)
কোন বাক্যটি শুদ্ধ ?,,,মরিয়ম মিরাজ ও মালিহা ক্রিকেট খেলে। ,,,তুমি সকালে কী দিয়ে নাস্তা করেছো।,,,মরিয়ম, মিরাজ ও মালিহা ক্রিকেট খেলে।,,,আমাদের বাড়িতে পাঁচটি ক্রিকেট বল আছে?
“সপ্তাহ” শব্দে যুক্তবর্ণটি ভেঙে লেখলে কী হয়?,,,প্ত  = প + ত,,,প্ত= প + ভ ,,,প্ত = প + ক,,,কোনটিই নয়। 
“অঞ্চল” শব্দে যুক্তবর্ণটি ভেঙে লেখলে কী হয়?,,,ঞ্চ  = ন+ ছ ,,,ঞ্চ  = ঙ+ ছ ,,,ঞ্চ  = ঙ+ চ ,,,ঞ্চ  = ঞ+ চ  
“ম্ম” যুক্তবর্ণটি দিয়ে সঠিক শব্দটি নিচ থেকে বাছাই করো,,,সন্মান,,,ভস্ম,,,ম্লান ,,,সম্মান
ঋ-কার দিয়ে একটি শব্দ সনাক্ত কর।,,,তূর্ণ,,,তৃণ,,,বর্ণ,,,ব্রহ্মপুত্র
